"pv","date","E_1","E_2","E_3","E_4","E_5","E_6","E_7"
"Jiangxi",2020-02-03,15.7030253860888,46.8056012862665,99.7523802443645,181.308745747417,304.099229331006,454.848521003515,631.483557280157
"Jiangxi",2020-02-04,12.2191286679545,41.2235402634361,87.9861543790879,160.996975889728,267.43494442761,418.381207686418,598.705292275604
"Jiangxi",2020-02-05,8.1034323383625,29.1474872665064,67.7584555687717,125.831097284488,213.332616194187,337.740631368335,509.021624392577
"Jiangxi",2020-02-06,7.98037835096119,25.589760163172,56.9861324349996,106.866330720223,178.206504812938,282.706726440763,428.194988630531
"Jiangxi",2020-02-07,3.86538094962262,16.6863166610029,40.0616022524332,77.7372489786263,134.452881843676,213.840575574899,328.65148573667
"Jiangxi",2020-02-08,3.51998110701796,11.7730917832392,30.0887142280682,60.009079785099,104.812551567599,169.287326388128,257.810042411711
"Jiangxi",2020-02-09,2.12728390230289,8.245346302596,19.7370193960687,42.1082439536812,76.8595018662742,126.92398738081,197.125747930383
"Jiangxi",2020-02-10,1.92189829781572,6.31371022515072,15.1974720666722,30.1366470881867,56.8251255077946,96.7189462505023,152.383865737851
"Jiangxi",2020-02-11,2.0880877847674,6.33955977690521,13.4762541588246,25.7123789594108,44.8303441967335,76.7518576005782,122.879087834334
"Jiangxi",2020-02-12,1.39319785120365,4.94294708530823,10.8251206634715,19.8832327635999,34.4660116355315,56.5091300239199,92.0937679167304
"Jiangxi",2020-02-13,1.28494168122892,4.07133738363623,9.08274806707798,16.5956232312667,27.5751530496042,44.504585992881,69.4728575323353
"Jiangxi",2020-02-14,0.509583320819998,2.39110506833378,5.82434263022849,11.5143818437197,19.7843684585631,31.6559850746405,49.6749359796133
"Jiangxi",2020-02-15,0.358625447390302,1.33859337204415,3.77080441151318,7.80112676678089,14.1175923157023,23.0864510388423,35.781532391295
"Jiangxi",2020-02-16,0.0996083902181665,0.607661107354428,1.78362261693904,4.4452875280561,8.72439521389588,15.3018717359132,24.5619271708435
"Jiangxi",2020-02-17,0.0356055931521967,0.194979017501263,0.7926880964851,2.08624575702817,4.88558299113404,9.31396187531708,16.0480449811919
"Jiangxi",2020-02-18,0.00528208493628615,0.0527562091392151,0.232051311531915,0.859645844464944,2.19240222199417,5.03763023042964,9.5157661807271
"Jiangxi",2020-02-19,0,0.00528208493628615,0.0527562091392151,0.232051311531915,0.859645844464944,2.19240222199417,5.03763023042964
"Jiangxi",2020-02-20,0,0,0.00528208493628615,0.0527562091392151,0.232051311531915,0.859645844464944,2.19240222199417
"Jiangxi",2020-02-21,0,0,0,0.00528208493628615,0.0527562091392151,0.232051311531915,0.859645844464944
"Jilin",2020-01-26,NA,NA,NA,NA,NA,NA,NA
"Jilin",2020-01-27,0.788188219089115,NA,NA,NA,NA,NA,NA
"Jilin",2020-01-28,0.337196998590986,1.51947932722466,NA,NA,NA,NA,NA
"Jilin",2020-01-29,1.40789613875224,3.43107813029816,6.58383100665462,NA,NA,NA,NA
"Jilin",2020-01-30,0,1.40789613875224,3.43107813029816,6.58383100665462,NA,NA,NA
"Jilin",2020-01-31,0.633554084354553,1.35419609918628,3.60682992118986,6.64160290850874,10.9766381134989,NA,NA
"Jilin",2020-02-01,1.26886965138037,3.16953190444402,5.3314579489392,9.27356713744546,14.3315221163103,21.0311219785677,NA
"Jilin",2020-02-02,1.95418764194732,4.91488349516817,8.50502330651064,12.5886613905571,18.7834044010669,26.5389353686596,36.3912881072736
"Jilin",2020-02-03,3.05952886979889,7.70072451942377,12.9876814001753,18.9008528541511,25.6268449925805,34.9189595083453,46.3836574604389
"Jilin",2020-02-04,3.39843620906268,9.79563293682398,17.3681100493698,25.1928062328821,33.6401940242761,43.2487542220325,55.9198194708026
"Jilin",2020-02-05,1.23461389055231,6.04906518672444,13.8369568553034,22.6308012440664,31.5128888037289,41.0162000690472,51.8258302915231
"Jilin",2020-02-06,1.10852976407571,3.82468032329079,10.3383497239943,19.7950753215544,30.0545604417779,40.2055176528208,50.9759370868482
"Jilin",2020-02-07,0.520193432553943,2.36774303934679,6.07158471100372,13.7180661813947,24.2873477316091,35.5239266728062,46.5207969847693
"Jilin",2020-02-08,0.914762917376963,2.60539157317728,6.11573582608369,12.0418825007348,22.2371911279228,35.3097235716089,48.7447636099968
"Jilin",2020-02-09,0.170087902405668,1.28813146808862,3.23885684016591,7.11871101443089,13.5387032453029,24.3004179073347,37.9292283273479
"Jilin",2020-02-10,0.0663378299838878,0.321469683592389,1.54115357342834,3.62192730364411,7.68653643858838,14.3534514475708,25.3983691270245
"Jilin",2020-02-11,0.0868734333343867,0.28588692328605,0.711106679300219,2.13407121744216,4.47494166393491,8.90906072023774,16.0698212854411
"Jilin",2020-02-12,0.0289376559178503,0.15924780591943,0.424599125854982,0.934862833071985,2.45946769536692,4.93038649999815,9.54926051698027
"Jilin",2020-02-13,0.0461246692074211,0.132937636960972,0.350121220296939,0.748148200200266,1.42849980982294,3.15638532042387,5.88740084133207
"Jilin",2020-02-14,0.0499228724308032,0.142172210845645,0.286860490434897,0.59091750710525,1.12162014697635,1.97205965900469,3.90322581791161
"Jilin",2020-02-15,0.0265081258459818,0.101392434492187,0.216704107510739,0.390330043017841,0.737823776355388,1.33486424621038,2.27034770944155
"Jilin",2020-02-16,0,0.0265081258459818,0.101392434492187,0.216704107510739,0.390330043017841,0.737823776355388,1.33486424621038
"Jilin",2020-02-17,0,0,0.0265081258459818,0.101392434492187,0.216704107510739,0.390330043017841,0.737823776355388
"Jilin",2020-02-18,0.00609639732745861,0.0177327440721908,0.0389984772524346,0.0920147289443982,0.191860473806005,0.330234481428268,0.53279807285322
"Jilin",2020-02-19,0.00841851496455955,0.0206113096194768,0.0438840031089412,0.0864154694694288,0.165939847007374,0.290747028084382,0.452183370310356
"Jilin",2020-02-20,0,0.00841851496455955,0.0206113096194768,0.0438840031089412,0.0864154694694288,0.165939847007374,0.290747028084382
"Jilin",2020-02-21,0,0,0.00841851496455955,0.0206113096194768,0.0438840031089412,0.0864154694694288,0.165939847007374
"Jingmen",2020-01-26,43.2953357956857,NA,NA,NA,NA,NA,NA
"Jingmen",2020-01-27,15.1657086908465,78.4435071614641,NA,NA,NA,NA,NA
"Jingmen",2020-01-28,13.2341469775618,46.0931824743959,132.683854065767,NA,NA,NA,NA
"Jingmen",2020-01-29,16.5166240397772,52.9105282280721,116.732885635385,244.121085188075,NA,NA,NA
"Jingmen",2020-01-30,9.31839609643041,37.969682696044,91.3789187126325,177.949839156215,335.311732721303,NA,NA
"Jingmen",2020-01-31,5.21054876377281,20.7412089244902,57.4822705639946,122.235061132779,223.971690267208,401.316046507228,NA
"Jingmen",2020-02-01,14.8653440754317,37.0101763214662,72.7306946911161,135.763525210266,237.382868073687,388.408050453367,630.695410386916
"Jingmen",2020-02-02,2.69503329029687,20.6096787145351,46.2282101364181,86.0902378822593,154.516251761336,263.697964326221,424.833619166465
"Jingmen",2020-02-03,8.1496655157472,20.1088757414396,48.5054945522002,86.0648668910626,140.163333117561,227.128414796388,362.305773210055
"Jingmen",2020-02-04,2.88425199698449,14.2937837190306,29.9586647188811,62.5480728842507,104.883781589905,164.676823208667,259.057532007394
"Jingmen",2020-02-05,10.5814100176485,24.7404652755723,48.893110349514,79.0437952847103,128.023198199915,189.030039975755,271.083694491545
"Jingmen",2020-02-06,5.93819799179631,22.5485509264771,43.1316219958664,74.5448781656556,112.949102552386,171.26699084831,242.912036350187
"Jingmen",2020-02-07,5.4607253396529,16.7311827526541,38.7552803475271,65.1068554108853,103.039843993272,148.855409928319,215.558876933462
"Jingmen",2020-02-08,9.94610765640131,26.32828367536,48.2632599307709,81.1148468460284,119.003429897325,169.975883304907,230.614132336587
"Jingmen",2020-02-09,-0.377025551986045,9.11698630185157,25.0027327444782,46.4529581434159,78.8123864532014,116.1765600505,166.556310511483
"Jingmen",2020-02-10,2.78370598241771,5.89416678630258,19.5700648138544,40.0477848375528,65.9819556588672,102.893851069269,145.108812116042
"Jingmen",2020-02-11,4.5313317601602,12.3558026296586,21.7814414293098,43.0299441498035,71.8228595770642,105.876607244304,151.032159296362
"Jingmen",2020-02-12,4.17767118455468,12.8345438009801,25.2483677766267,40.423646244065,68.5666099536551,104.93007641998,146.376274648436
"Jingmen",2020-02-13,1.38734052342177,7.00322637806904,17.0803671581268,31.0741323670375,48.2287949824025,78.745261655452,117.71498339752
"Jingmen",2020-02-14,0.324958075206045,2.10868160531975,8.13548593713633,18.618417621089,33.0635946109323,50.7837955542764,81.9784059311714
"Jingmen",2020-02-15,0.592287211059628,1.8379598326828,4.74476854842365,11.9358418988866,23.5685144772083,39.2926915130273,58.6152510523121
"Jingmen",2020-02-16,0.119432952532314,0.920762708671811,2.49139340550103,5.79458512793381,13.3965769555661,25.4350404377827,41.6106292545343
"Jingmen",2020-02-17,0,0.119432952532314,0.920762708671811,2.49139340550103,5.79458512793381,13.3965769555661,25.4350404377827
"Jingmen",2020-02-18,0.00701427073371929,0.0190020792232711,0.158340523844304,0.994510704163779,2.619301080194,5.98855663707544,13.6590348775693
"Jingmen",2020-02-19,0.0190516216794222,0.0611372460817379,0.133064097019049,0.371930002083677,1.38230230330304,3.2778910753383,6.97746580446302
"Jingmen",2020-02-20,0.0212551961194627,0.0631687638141915,0.147340012618823,0.291193714493445,0.649492572090386,1.86890741838962,4.08945426563093
"Jingmen",2020-02-21,0.00582456858882641,0.0341648300814434,0.083699046447941,0.181898836720011,0.349728155573737,0.747837997348116,2.03693369200731
"Jingzhou",2020-01-26,7.84672575234811,NA,NA,NA,NA,NA,NA
"Jingzhou",2020-01-27,13.5234784468022,34.8217340603185,NA,NA,NA,NA,NA
"Jingzhou",2020-01-28,14.346953240024,44.7747797453291,82.8874476853056,NA,NA,NA,NA
"Jingzhou",2020-01-29,20.9109037103162,59.1694456837136,117.771185619857,183.907874103934,NA,NA,NA
"Jingzhou",2020-01-30,26.8602140156706,77.0463829204295,148.78114912055,246.826367859866,352.196685105683,NA,NA
"Jingzhou",2020-01-31,23.1456187223812,75.3311773813984,153.119739183775,256.417802511948,391.65258697997,534.014611344,NA
"Jingzhou",2020-02-01,14.4481625970059,53.7255761865013,123.562132627245,220.588725843112,345.885450805989,507.040235630382,675.184358894985
"Jingzhou",2020-02-02,47.1673611305782,113.754545273301,211.246696861513,344.780332253704,511.231125787821,715.914325345497,970.606502760273
"Jingzhou",2020-02-03,30.165444444825,109.724848761463,212.118348905461,349.589296468695,526.866708972121,740.994362965759,1000.19598483553
"Jingzhou",2020-02-04,24.1592726861249,80.7856333106209,188.759110597487,322.561659865411,495.10172670498,710.750873516507,966.700334930777
"Jingzhou",2020-02-05,17.5400674697856,62.9595001197003,142.871466982307,275.849328482973,437.291840979952,640.692732782696,890.109005785352
"Jingzhou",2020-02-06,14.1486515960351,50.0260623296873,117.672025850837,221.928035598741,381.046844232017,571.385681923008,807.05016345998
"Jingzhou",2020-02-07,8.703830570914,34.0791296290204,84.5068236046538,169.789056186675,293.361534745738,473.222616647281,686.490060198738
"Jingzhou",2020-02-08,8.17458549122874,26.5360910791843,64.368355129452,130.940883935229,235.792127393011,380.797948057608,583.674429065035
"Jingzhou",2020-02-09,7.27402746359522,23.7241192545864,51.8625304153494,102.30554914904,185.222231733481,309.884078793885,476.587850725812
"Jingzhou",2020-02-10,5.84322421341217,19.504202620652,43.2205926260687,79.9436038019798,141.45948030648,238.727127184382,380.783650578796
"Jingzhou",2020-02-11,6.58633189766002,19.4089628104256,40.6987992892409,73.0943788285548,120.071217800337,194.813007753305,309.222084203952
"Jingzhou",2020-02-12,6.90952752470345,20.6948733570151,41.1461581039577,70.774513870309,112.65664941179,170.841160625571,260.039181557096
"Jingzhou",2020-02-13,3.63699502507407,14.5158255958838,32.4367751778889,57.2704780848907,91.6890470589754,139.020906261275,203.643867486417
"Jingzhou",2020-02-14,2.41789943122587,8.95102012441448,22.9905920097162,44.2047075405514,72.5281137972298,110.761111807102,162.432565776351
"Jingzhou",2020-02-15,0.486627361561102,3.57928942475699,10.9206312346287,25.8422704635096,47.9754090498322,77.272686008746,116.570175842559
"Jingzhou",2020-02-16,0.290770367828672,1.22347281082078,4.93466728665585,13.0168784534871,28.7470794139822,51.7226558011683,81.9126475704645
"Jingzhou",2020-02-17,0.673451795903151,1.91583427662566,4.30841880430107,10.0439011760462,20.5507756929268,38.9271786841594,64.6598242378079
"Jingzhou",2020-02-18,0.0628595825383628,0.811139355764086,2.15925651569702,4.7140501638928,10.6744534129612,21.4507349687363,40.1211604078286
"Jingzhou",2020-02-19,0.160376222737196,0.411814552890648,1.38457825808409,3.0498994556483,6.09132046540519,12.7264863464436,24.3109890189018
"Jingzhou",2020-02-20,0.0682221236450105,0.322151142978905,0.683593742574491,1.78730640808243,3.63766329426489,6.96295026493242,13.9917276812867
"Jingzhou",2020-02-21,0.032756691511952,0.1594549211384,0.493572051840893,0.949304025244023,2.16525865673582,4.17421756173392,7.742818213182
"Liaoning",2020-01-26,1.65729554759731,NA,NA,NA,NA,NA,NA
"Liaoning",2020-01-27,3.12195721482036,9.19870755601049,NA,NA,NA,NA,NA
"Liaoning",2020-01-28,1.07871212186724,5.76164794409779,14.0481256820843,NA,NA,NA,NA
"Liaoning",2020-01-29,1.43753441890736,4.40399275404227,11.8186411392406,23.9721418216209,NA,NA,NA
"Liaoning",2020-01-30,0.718174680141346,2.97715733842435,7.0223277954265,15.997954788035,30.3611828672117,NA,NA
"Liaoning",2020-01-31,2.53625825819715,5.94758798886855,11.2870015448102,19.3773424588145,34.2066392292112,56.8563450463744,NA
"Liaoning",2020-02-01,0.638181928990917,3.85077572270731,7.98028013352005,14.1411419288373,23.3101949647089,39.7004703425158,64.5599035564754
"Liaoning",2020-02-02,0.846074666326162,2.44152948880345,6.66862658579871,11.8753930168235,19.2684271712042,30.0555483898766,48.7872916787988
"Liaoning",2020-02-03,0.441701323237485,1.85182576711442,4.08546251858263,8.98889515109712,14.9138362622632,23.1283186560196,34.9941519965592
"Liaoning",2020-02-04,0.62968607133911,1.84436471024219,4.24157626483298,7.5920313920353,13.6790512117085,20.8607980131219,30.5128148257857
"Liaoning",2020-02-05,0.648341615231654,1.99766891095832,4.09575019633637,7.62106130602871,12.2478802912129,19.6875711819245,28.3056673436207
"Liaoning",2020-02-06,0.400761240240285,1.45431636499172,3.25341942596061,5.90362736538552,10.1340006970163,15.5585470934391,23.8436574035498
"Liaoning",2020-02-07,0.37074647071578,1.17226895119635,2.63103758546757,4.87991641167868,8.08225100515044,13.0176865587197,19.2399603663812
"Liaoning",2020-02-08,0.391135536785151,1.20677777235987,2.48921374112878,4.43423858682374,7.22284833132551,11.0877349096535,16.8692451295489
"Liaoning",2020-02-09,0.104600399885292,0.62611444893216,1.59005527279319,3.03279573765822,5.13990598716109,8.10842603775975,12.1941632777065
